,Category Name,Category Code,Subcategory Name,Variable Name,Variable Code,Geography,Units, 
63,Store Availability,STORES,Specialized,"Specialized food stores/1,000 pop, 2014",SPECSPTH14,CNTY10,"# per 1,000 pop",
65,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores, 2012",SNAPS12,CNTY10,Count,
67,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores (% change), 2012-16",PCH_SNAPS_12_16,CNTY10,% change,
68,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop, 2012",SNAPSPTH12,CNTY10,"# per 1,000 pop",
69,Store Availability,STORES,SNAP-authorized,"SNAP-authorized stores/1,000 pop, 2016",SNAPSPTH16,CNTY10,"# per 1,000 pop",
71,Store Availability,STORES,WIC-authorized,"WIC-authorized stores, 2008",WICS08,CNTY10,Count,
73,Store Availability,STORES,WIC-authorized,"WIC-authorized stores (% change), 2008-12",PCH_WICS_08_12,CNTY10,% change,
74,Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop, 2008",WICSPTH08,CNTY10,"# per 1,000 pop",
75,Store Availability,STORES,WIC-authorized,"WIC-authorized stores/1,000 pop, 2012",WICSPTH12,CNTY10,"# per 1,000 pop",
77,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants, 2009",FFR09,CNTY10,Count,
79,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants (% change), 2009-14",PCH_FFR_09_14,CNTY10,% change,
80,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop, 2009",FFRPTH09,CNTY10,"# per 1,000 pop",
81,Restaurant Availability and Expenditures,RESTAURANTS,Fast-food,"Fast-food restaurants/1,000 pop, 2014",FFRPTH14,CNTY10,"# per 1,000 pop",
83,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants, 2009",FSR09,CNTY10,Count,
85,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants (% change), 2009-14",PCH_FSR_09_14,CNTY10,% change,
86,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop, 2009",FSRPTH09,CNTY10,Count,
87,Restaurant Availability and Expenditures,RESTAURANTS,Full-service,"Full-service restaurants/1,000 pop, 2014",FSRPTH14,CNTY10,Count,
89,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, fast food, 2007*",PC_FFRSALES07,CNTY10,Dollars,
90,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, fast food, 2012*",PC_FFRSALES12,CNTY10,Dollars,
91,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, restaurants, 2007*",PC_FSRSALES07,CNTY10,Dollars,
92,Restaurant Availability and Expenditures,RESTAURANTS,Expenditures,"Expenditures per capita, restaurants, 2012*",PC_FSRSALES12,CNTY10,Dollars,
93,Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores, 2012",REDEMP_SNAPS12,CNTY10,Dollars/store,
94,Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores, 2016",REDEMP_SNAPS16,CNTY10,Dollars/store,
95,Food Assistance,ASSISTANCE,SNAP,"SNAP redemptions/SNAP-authorized stores (% change), 2012-16",PCH_REDEMP_SNAPS_12_16,CNTY10,% change,
96,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% pop), 2012*",PCT_SNAP12,CNTY10,Percent,
97,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% pop), 2016*",PCT_SNAP16,CNTY10,Percent,
98,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (change % pop), 2012-16*",PCH_SNAP_12_16,CNTY10,Percentage points,
99,Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita, 2010",PC_SNAPBEN10,CNTY10,Dollars/capita,
100,Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita, 2015",PC_SNAPBEN15,CNTY10,Dollars/capita,
101,Food Assistance,ASSISTANCE,SNAP,"SNAP benefits per capita (% change), 2010-15",PCH_PC_SNAPBEN_10_15,CNTY10,% change,
102,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% eligible pop), 2008*",SNAP_PART_RATE08,CNTY10,Percent,
103,Food Assistance,ASSISTANCE,SNAP,"SNAP participants (% eligible pop), 2013*",SNAP_PART_RATE13,CNTY10,Percent,
104,Food Assistance,ASSISTANCE,SNAP,"SNAP online application, 2009*",SNAP_OAPP09,CNTY10,Classification,
105,Food Assistance,ASSISTANCE,SNAP,"SNAP online application, 2016*",SNAP_OAPP16,CNTY10,Classification,
106,Food Assistance,ASSISTANCE,SNAP,"SNAP Combined Application Project , 2009*",SNAP_CAP09,CNTY10,Classification,
107,Food Assistance,ASSISTANCE,SNAP,"SNAP Combined Application Project , 2016*",SNAP_CAP16,CNTY10,Classification,
108,Food Assistance,ASSISTANCE,SNAP,"SNAP Broad-based Categorical Eligibility, 2009*",SNAP_BBCE09,CNTY10,Classification,
109,Food Assistance,ASSISTANCE,SNAP,"SNAP Broad-based Categorical Eligibility, 2016*",SNAP_BBCE16,CNTY10,Classification,
110,Food Assistance,ASSISTANCE,SNAP,"SNAP simplified reporting, 2009*",SNAP_REPORTSIMPLE09,CNTY10,Classification,
111,Food Assistance,ASSISTANCE,SNAP,"SNAP simplified reporting, 2016*",SNAP_REPORTSIMPLE16,CNTY10,Classification,
112,Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (% pop), 2009*",PCT_NSLP09,CNTY10,Percent,
114,Food Assistance,ASSISTANCE,National School Lunch Program,"National School Lunch Program participants (change % pop), 2009-15*",PCH_NSLP_09_15,CNTY10,Percentage points,
115,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for free lunch (%), 2009",PCT_FREE_LUNCH09,CNTY10,Percent,
116,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for free lunch (%), 2014",PCT_FREE_LUNCH14,CNTY10,Percent,
117,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for reduced-price lunch (%), 2009",PCT_REDUCED_LUNCH09,CNTY10,Percent,
118,Food Assistance,ASSISTANCE,National School Lunch Program,"Students eligible for reduced-price lunch (%), 2014",PCT_REDUCED_LUNCH14,CNTY10,Percent,
119,Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (% pop), 2009*",PCT_SBP09,CNTY10,Percent,
120,Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (% pop), 2015*",PCT_SBP15,CNTY10,Percent,
121,Food Assistance,ASSISTANCE,School Breakfast Program,"School Breakfast Program participants (change % pop), 2009-15*",PCH_SBP_09_15,CNTY10,Percentage points,
122,Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Service Program participants (% pop), 2009*",PCT_SFSP09,CNTY10,Percent,
123,Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Service Program participants (% pop), 2015*",PCT_SFSP15,CNTY10,Percent,
124,Food Assistance,ASSISTANCE,Summer Food Service Program,"Summer Food Program participants (change % pop), 2009-15*",PCH_SFSP_09_15,CNTY10,Percentage points,
131,Food Assistance,ASSISTANCE,WIC,"WIC participants (% pop), 2009*",PCT_WIC09,CNTY10,Percent,
132,Food Assistance,ASSISTANCE,WIC,"WIC participants (% pop), 2015*",PCT_WIC15,CNTY10,Percent,
133,Food Assistance,ASSISTANCE,WIC,"WIC participants (change % pop), 2009-15*",PCH_WIC_09_15,CNTY10,Percentage points,
134,Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (% pop), 2009*",PCT_CACFP09,CNTY10,Percent,
135,Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (% pop), 2015*",PCT_CACFP15,CNTY10,Percent,
136,Food Assistance,ASSISTANCE,Child & Adult Care,"Child & Adult Care (change % pop), 2009-15*",PCH_CACFP_09_15,CNTY10,Percentage points,
137,Food Assistance,ASSISTANCE,FDPIR,"FDPIR Sites, 2012",FDPIR12,CNTY10,Count,
138,Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (%, three-year average), 2010-12*",FOODINSEC_10_12,CNTY10,Percent,
139,Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (%, three-year average), 2013-15*",FOODINSEC_13_15,CNTY10,Percent,
140,Food Insecurity,INSECURITY,State Food Insecurity,"Household food insecurity (change %),2010-12 to 2013-15*",CH_FOODINSEC_12_15,CNTY10,Percentage points,
141,Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (%, three-year average), 2010-12*",VLFOODSEC_10_12,CNTY10,Percent,
142,Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (%, three-year average), 2013-15*",VLFOODSEC_13_15,CNTY10,Percent,
143,Food Insecurity,INSECURITY,State Food Insecurity,"Household very low food security (change %),2010-12 to 2013-15*",CH_VLFOODSEC_12_15,CNTY10,Percentage points,
144,Food Insecurity,INSECURITY,State Food Insecurity,"Child food insecurity (% households, multiple-year average), 2001-07*",FOODINSEC_CHILD_01_07,CNTY10,Percent,
145,Food Insecurity,INSECURITY,State Food Insecurity,"Child food insecurity (% households, multiple-year average), 2003-11*",FOODINSEC_CHILD_03_11,CNTY10,Percent,
146,Food Prices and Taxes,PRICES_TAXES,Prices,"Price of low-fat milk/national average, 2010**",MILK_PRICE10,CNTY10,Ratio,
147,Food Prices and Taxes,PRICES_TAXES,Prices,"Price of sodas/national average, 2010**",SODA_PRICE10,CNTY10,Ratio,
148,Food Prices and Taxes,PRICES_TAXES,Prices,"Price of low-fat milk/price of sodas, 2010**",MILK_SODA_PRICE10,CNTY10,Ratio,
149,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Soda sales tax, retail stores, 2014*",SODATAX_STORES14,CNTY10,Percent,
150,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Soda sales tax, vending, 2014*",SODATAX_VENDM14,CNTY10,Percent,
151,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Chip & pretzel sales tax, retail stores, 2014*",CHIPSTAX_STORES14,CNTY10,Percent,
152,Food Prices and Taxes,PRICES_TAXES,Sales Tax,"Chip & pretzel sales tax, vending, 2014*",CHIPSTAX_VENDM14,CNTY10,Percent,
154,Local Foods,LOCAL,Direct Sales,"Farms with direct sales, 2007",DIRSALES_FARMS07,CNTY10,Count,
155,Local Foods,LOCAL,Direct Sales,"Farms with direct sales, 2012",DIRSALES_FARMS12,CNTY10,Count,
156,Local Foods,LOCAL,Direct Sales,"Farms with direct sales (% change), 2007 - 12",PCH_DIRSALES_FARMS_07_12,CNTY10,% change,
157,Local Foods,LOCAL,Direct Sales,"Farms with direct sales (%), 2007",PCT_LOCLFARM07,CNTY10,Percent,
158,Local Foods,LOCAL,Direct Sales,"Farms with direct sales (%), 2012",PCT_LOCLFARM12,CNTY10,Percent,
159,Local Foods,LOCAL,Direct Sales,"Direct farm sales (%), 2007",PCT_LOCLSALE07,CNTY10,Percent,
160,Local Foods,LOCAL,Direct Sales,"Direct farm sales (%), 2012",PCT_LOCLSALE12,CNTY10,Percent,
161,Local Foods,LOCAL,Direct Sales,"Direct farm sales, 2007",DIRSALES07,CNTY10,"1,000 dollars",
162,Local Foods,LOCAL,Direct Sales,"Direct farm sales, 2012",DIRSALES12,CNTY10,"1,000 dollars",
163,Local Foods,LOCAL,Direct Sales,"Direct farm sales (% change), 2007 - 12",PCH_DIRSALES_07_12,CNTY10,% change,
164,Local Foods,LOCAL,Direct Sales,"Direct farm sales per capita, 2007",PC_DIRSALES07,CNTY10,Dollars,
165,Local Foods,LOCAL,Direct Sales,"Direct farm sales per capita, 2012",PC_DIRSALES12,CNTY10,Dollars,
167,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets, 2009",FMRKT09,CNTY10,Count,
168,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets, 2016",FMRKT16,CNTY10,Count,
169,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets (% change), 2009-16",PCH_FMRKT_09_16,CNTY10,% change,
170,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets/1,000 pop, 2009",FMRKTPTH09,CNTY10,"# per 1,000 pop",
171,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets/1,000 pop, 2016",FMRKTPTH16,CNTY10,"# per 1,000 pop",
173,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SNAP, 2016",FMRKT_SNAP16,CNTY10,Count,
174,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SNAP (%), 2016",PCT_FMRKT_SNAP16,CNTY10,Percent,
175,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC, 2016",FMRKT_WIC16,CNTY10,Count,
176,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC (%), 2016",PCT_FMRKT_WIC16,CNTY10,Percent,
177,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC Cash, 2016",FMRKT_WICCASH16,CNTY10,Count,
178,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting WIC Cash (%), 2016",PCT_FMRKT_WICCASH16,CNTY10,Percent,
179,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SFMNP, 2016",FMRKT_SFMNP16,CNTY10,Count,
180,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting SFMNP (%), 2016",PCT_FMRKT_SFMNP16,CNTY10,Percent,
181,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting credit cards, 2016",FMRKT_CREDIT16,CNTY10,Count,
182,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report accepting credit cards (%), 2016",PCT_FMRKT_CREDIT16,CNTY10,Percent,
183,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling fruit & vegetables, 2016",FMRKT_FRVEG16,CNTY10,Count,
184,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling fruit & vegetables (%), 2016",PCT_FMRKT_FRVEG16,CNTY10,Percent,
185,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling animal products, 2016",FMRKT_ANMLPROD16,CNTY10,Count,
186,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling animal products (%), 2016",PCT_FMRKT_ANMLPROD16,CNTY10,Percent,
188,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling baked/prepared food products (%), 2016",PCT_FMRKT_BAKED16,CNTY10,Percent,
190,Local Foods,LOCAL,Farmers' Markets,"Farmers' markets that report selling other food products (%), 2016",PCT_FMRKT_OTHERFOOD16,CNTY10,Percent,
191,Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable farms, 2007",VEG_FARMS07,CNTY10,Count,
192,Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable farms, 2012",VEG_FARMS12,CNTY10,Count,
193,Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable farms (% change), 2007 - 12",PCH_VEG_FARMS_07_12,CNTY10,% change,
194,Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested, 2007",VEG_ACRES07,CNTY10,Acres,
197,Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested/1,000 pop, 2007",VEG_ACRESPTH07,CNTY10,"Acres/1,000 pop",
199,Local Foods,LOCAL,Farms & Crop Acreage,"Vegetable acres harvested/1,000 pop (% change), 2007 - 12",PCH_VEG_ACRESPTH_07_12,CNTY10,% change,
200,Local Foods,LOCAL,Farms & Crop Acreage,"Farms with vegetables harvested for fresh market, 2007",FRESHVEG_FARMS07,CNTY10,Count,
201,Local Foods,LOCAL,Farms & Crop Acreage,"Farms with vegetables harvested for fresh market, 2012",FRESHVEG_FARMS12,CNTY10,Count,
202,Local Foods,LOCAL,Farms & Crop Acreage,"Farms with vegetables harvested for fresh market (% change), 2007 - 12",PCH_FRESHVEG_FARMS_07_12,CNTY10,% change,
209,Local Foods,LOCAL,Farms & Crop Acreage,"Orchard farms, 2007",ORCHARD_FARMS07,CNTY10,Count,
211,Local Foods,LOCAL,Farms & Crop Acreage,"Orchard farms (% change), 2007 - 12",PCH_ORCHARD_FARMS_07_12,CNTY10,% change,
212,Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres, 2007",ORCHARD_ACRES07,CNTY10,Acres,
215,Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres/1,000 pop, 2007",ORCHARD_ACRESPTH07,CNTY10,"Acres/1,000 pop",
216,Local Foods,LOCAL,Farms & Crop Acreage,"Orchard acres/1,000 pop, 2012",ORCHARD_ACRESPTH12,CNTY10,"Acres/1,000 pop",
218,Local Foods,LOCAL,Farms & Crop Acreage,"Berry farms, 2007",BERRY_FARMS07,CNTY10,Count,
219,Local Foods,LOCAL,Farms & Crop Acreage,"Berry farms, 2012",BERRY_FARMS12,CNTY10,Count,
220,Local Foods,LOCAL,Farms & Crop Acreage,"Berry farms (% change), 2007 - 12",PCH_BERRY_FARMS_07_12,CNTY10,% change,
221,Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres, 2007",BERRY_ACRES07,CNTY10,Acres,
224,Local Foods,LOCAL,Farms & Crop Acreage,"Berry acres/1,000 pop, 2007",BERRY_ACRESPTH07,CNTY10,"Acres/1,000 pop",
227,Local Foods,LOCAL,Farms & Crop Acreage,"Small slaughterhouse facilities, 2007",SLHOUSE07,CNTY10,Count,
228,Local Foods,LOCAL,Farms & Crop Acreage,"Small slaughterhouse facilities, 2012",SLHOUSE12,CNTY10,Count,
229,Local Foods,LOCAL,Farms & Crop Acreage,"Small slaughterhouse facilities (% change), 2007 - 12",PCH_SLHOUSE_07_12,CNTY10,% change,
230,Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse vegetable and fresh herb farms, 2007",GHVEG_FARMS07,CNTY10,Count,
231,Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse vegetable and fresh herb farms, 2012",GHVEG_FARMS12,CNTY10,Count,
233,Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet, 2007",GHVEG_SQFT07,CNTY10,Sq ft,
234,Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet, 2012",GHVEG_SQFT12,CNTY10,Sq ft,
236,Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet/1,000 pop, 2007",GHVEG_SQFTPTH07,CNTY10,"Sq ft/1,000 pop",
237,Local Foods,LOCAL,Farms & Crop Acreage,"Greenhouse veg and fresh herb sq feet/1,000 pop, 2012",GHVEG_SQFTPTH12,CNTY10,"Sq ft/1,000 pop",
239,Local Foods,LOCAL,Other Local Food Outlets,"Food hubs, 2016",FOODHUB16,CNTY10,Count,
240,Local Foods,LOCAL,Other Local Food Outlets,"CSA farms, 2007",CSA07,CNTY10,Count,
241,Local Foods,LOCAL,Other Local Food Outlets,"CSA farms, 2012",CSA12,CNTY10,Count,
242,Local Foods,LOCAL,Other Local Food Outlets,"CSA farms (% change), 2007 - 12",PCH_CSA_07_12,CNTY10,% change,
243,Local Foods,LOCAL,Other Local Food Outlets,"Agritourism operations, 2007",AGRITRSM_OPS07,CNTY10,Count,
244,Local Foods,LOCAL,Other Local Food Outlets,"Agritourism operations, 2012",AGRITRSM_OPS12,CNTY10,Count,
245,Local Foods,LOCAL,Other Local Food Outlets,"Agritourism operations (% change), 2007 - 12",PCH_AGRITRSM_OPS_07_12,CNTY10,% change,
247,Local Foods,LOCAL,Other Local Food Outlets,"Agritourism receipts, 2012",AGRITRSM_RCT12,CNTY10,Dollars,
249,Local Foods,LOCAL,Other Local Food Outlets,"Farm to school program, 2009",FARM_TO_SCHOOL09,CNTY10,Classification,
250,Local Foods,LOCAL,Other Local Food Outlets,"Farm to school program, 2013",FARM_TO_SCHOOL13,CNTY10,Classification,
251,Health and Physical Activity,HEALTH,Health,"Adult diabetes rate, 2008",PCT_DIABETES_ADULTS08,CNTY10,Percent,
252,Health and Physical Activity,HEALTH,Health,"Adult diabetes rate, 2013",PCT_DIABETES_ADULTS13,CNTY10,Percent,
253,Health and Physical Activity,HEALTH,Health,"Adult obesity rate, 2008",PCT_OBESE_ADULTS08,CNTY10,Percent,
254,Health and Physical Activity,HEALTH,Health,"Adult obesity rate, 2013",PCT_OBESE_ADULTS13,CNTY10,Percent,
256,Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities, 2009",RECFAC09,CNTY10,Count,
258,Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities (% change), 2009-14",PCH_RECFAC_09_14,CNTY10,% change,
259,Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities/1,000 pop, 2009",RECFACPTH09,CNTY10,"# per 1,000 pop",
260,Health and Physical Activity,HEALTH,Physical Activity,"Recreation & fitness facilities/1,000 pop, 2014",RECFACPTH14,CNTY10,"# per 1,000 pop",
262,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% White, 2010",PCT_NHWHITE10,CNTY10,Percent,
263,Socioeconomic Characteristics,SOCIOECONOMIC,Race & Age,"% Black, 2010",PCT_NHBLACK10,CNTY10,Percent,
